  createHero2('h6_1', 'Trần Hưng Đạo (Trần Quốc Tuấn)', 95, 6, 'ally', 'Nhà Trần', 'Trần Hưng Đạo (Trần Quốc Tuấn) là danh tướng thời Trần.', 'Hào Khí Đông A', 'Hồi 25% thanh nộ khí và tăng 20% chỉ số Tấn công (duy trì 2 hiệp) cho 2 tướng đồng minh có chỉ số Tấn công cơ bản cao nhất.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_2', 'Trần Thủ Độ', 95, 6, 'ally', 'Nhà Trần', 'Trần Thủ Độ là danh tướng thời Trần.', 'Quyền Bính Thiên Hạ', 'Gây **100%** sát thương phép lên toàn đội hình địch. Có 25% tỷ lệ khiến địch bị Mê hoặc (đánh nhầm đồng đội) trong 1 hiệp.', 'Gây sát thương phép lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_3', 'Trần Nhân Tông', 95, 6, 'ally', 'Nhà Trần', 'Trần Nhân Tông là danh tướng thời Trần.', 'Thiền Tâm Phổ Độ', 'Hồi máu bằng 15% máu tối đa của bản thân cho 1 đồng minh thấp máu nhất. Tạo Khiên ảo tương đương 10% máu tối đa cho 3 tướng phe ta ở hàng trên.', 'Gây sát thương phép lên 1 địch và hồi lượng nhỏ HP cho bản thân.'),
  createHero2('h6_4', 'Trần Thánh Tông', 95, 6, 'ally', 'Nhà Trần', 'Trần Thánh Tông là danh tướng thời Trần.', 'Hoàng Ân Hạo Đãng', 'Gây **150%** sát thương phép lên 3 tướng địch hàng trên. Nhận chia sẻ 15% sát thương thay cho 1 tướng đồng minh yếu máu nhất trong 2 hiệp.', 'Gây sát thương phép lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_5', 'Trần Thái Tông', 95, 6, 'ally', 'Nhà Trần', 'Trần Thái Tông là danh tướng thời Trần.', 'Chân Mệnh Đế Vương', 'Gây **150%** sát thương vật lý lên 3 tướng địch hàng dưới. Bản thân nhận hiệu ứng Phản lại 20% sát thương nhận vào trong 2 hiệp.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_6', 'Phạm Ngũ Lão', 85, 6, 'ally', 'Nhà Trần', 'Phạm Ngũ Lão là danh tướng thời Trần.', 'Hoành Thương Trấn Nhạc', 'Gây **85%** sát thương vật lý lên toàn đội hình địch. Có 25% tỷ lệ đòn đánh bỏ qua 15% phòng thủ địch.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_7', 'Trần Quang Khải', 85, 6, 'ally', 'Nhà Trần', 'Trần Quang Khải là danh tướng thời Trần.', 'Đoạt Giáo Chương Dương', 'Quét ngang gây **135%** sát thương vật lý lên 3 tướng địch hàng trên. Có 30% tỷ lệ xóa bỏ 1 hiệu ứng Buff có lợi của mục tiêu.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_8', 'Trần Nhật Duật', 85, 6, 'ally', 'Nhà Trần', 'Trần Nhật Duật là danh tướng thời Trần.', 'Mạn Thiên Tinh Môn', 'Gây **80%** sát thương phép lên toàn địch. Có 20% tỷ lệ khiến kẻ địch bị giảm 15% kháng phép trong 2 hiệp.', 'Gây sát thương phép lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_9', 'Trần Khánh Dư', 85, 6, 'ally', 'Nhà Trần', 'Trần Khánh Dư là danh tướng thời Trần.', 'Đoạt Lương Vân Đồn', 'Gây **135%** sát thương vật lý lên 3 tướng địch hàng dưới. Có 25% tỷ lệ Hút 20% Nộ khí của địch.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_10', 'Linh Từ Quốc Mẫu (Trần Thị Dung)', 85, 6, 'ally', 'Nhà Trần', 'Linh Từ Quốc Mẫu (Trần Thị Dung) là danh tướng thời Trần.', 'Quốc Mẫu Nghi Thiên', 'Hồi máu cho toàn bộ đội hình bằng 12% máu tối đa của bà. Có 25% tỷ lệ Thanh tẩy 1 trạng thái bất lợi cho 3 tướng hàng trên.', 'Gây sát thương phép lên 1 địch và hồi lượng nhỏ HP cho bản thân.'),
  createHero2('h6_11', 'Trần Quốc Toản', 75, 6, 'ally', 'Nhà Trần', 'Trần Quốc Toản là danh tướng thời Trần.', 'Toái Thạch Phá Tâm', 'Gây **200%** sát thương vật lý lên 1 mục tiêu có máu thấp nhất. Đòn đánh được cộng sẵn 15% tỷ lệ bạo kích.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_12', 'Yết Kiêu', 75, 6, 'ally', 'Nhà Trần', 'Yết Kiêu là danh tướng thời Trần.', 'Giao Long Đột Kích', 'Gây **150%** sát thương vật lý lên 1 hàng dọc. Buff cho bản thân 15% tỷ lệ Né tránh. Mỗi lần né có 20% tỷ lệ hồi 15 nộ khí.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_13', 'Dã Tượng', 75, 6, 'ally', 'Nhà Trần', 'Dã Tượng là danh tướng thời Trần.', 'Thiết Tượng Càn Quét', 'Gây **120%** sát thương vật lý lên 3 tướng địch hàng trên. Có 15% tỷ lệ gây Choáng trong 1 hiệp.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_14', 'Trần Bình Trọng', 75, 6, 'ally', 'Nhà Trần', 'Trần Bình Trọng là danh tướng thời Trần.', 'Nam Quỷ Bất Khuất', 'Gây **200%** sát thương vật lý lên 1 mục tiêu hàng trên. Có 25% tỷ lệ Khiêu khích toàn địch đánh mình và tăng 15% phòng thủ bản thân trong 1 hiệp.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_15', 'Tuệ Trung Thượng Sĩ (Trần Tung)', 75, 6, 'ally', 'Nhà Trần', 'Tuệ Trung Thượng Sĩ (Trần Tung) là danh tướng thời Trần.', 'Phóng Dật Thiền Giao', 'Không gây sát thương. Gắn hiệu ứng Miễn khống cho 2 tướng đồng minh có lực chiến cao nhất trong 1 hiệp (tỷ lệ thành công 35%).', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_16', 'Lê Phụ Trần', 75, 6, 'ally', 'Nhà Trần', 'Lê Phụ Trần là danh tướng thời Trần.', 'Xuyên Tường Phá Địch', 'Gây **150%** sát thương vật lý lên 1 hàng dọc. Kẻ địch đứng sau nhận thêm 10% sát thương.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_17', 'Trần Khát Chân', 75, 6, 'ally', 'Nhà Trần', 'Trần Khát Chân là danh tướng thời Trần.', 'Hỏa Đồng Oanh Trận', 'Gây **210%** sát thương vật lý vào 1 mục tiêu hàng dưới. Đòn đánh có 20% tỷ lệ bỏ qua 15% giáp.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_18', 'Chu Văn An', 75, 6, 'ally', 'Nhà Trần', 'Chu Văn An là danh tướng thời Trần.', 'Thất Trảm Sớ', 'Gây **115%** sát thương phép lên 3 tướng ngẫu nhiên. Có 15% tỷ lệ gây Cấm trị liệu trong 1 hiệp.', 'Gây sát thương phép lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_19', 'Nguyễn Khoái', 75, 6, 'ally', 'Nhà Trần', 'Nguyễn Khoái là danh tướng thời Trần.', 'Thiết Kỵ Xung Phong', 'Gây **120%** sát thương vật lý lên 3 tướng địch hàng trên. Có 15% tỷ lệ gây Câm lặng trong 1 hiệp.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_20', 'Nguyễn Chế Nghĩa', 75, 6, 'ally', 'Nhà Trần', 'Nguyễn Chế Nghĩa là danh tướng thời Trần.', 'Ngự Tiền Đột Trận', 'Cầm cây giáo dài xé toạc đội hình, gây **145%** sát thương vật lý lên 1 hàng dọc. Kẻ địch trúng đòn bị Giảm 10% Phòng thủ trong 2 hiệp. Nếu kẻ địch có lượng máu dưới 50%, sát thương của kỹ năng tự động tăng thêm 15%.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_21', 'Đoàn Nhữ Hài', 75, 6, 'ally', 'Nhà Trần', 'Đoàn Nhữ Hài là danh tướng thời Trần.', 'Biểu Khấu Đầu', 'Gây **110%** sát thương phép lên 3 tướng địch hàng trước. Tỉ lệ 15% Giảm 10% công địch.', 'Gây sát thương phép lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_22', 'An Tư Công Chúa', 65, 6, 'ally', 'Nhà Trần', 'An Tư Công Chúa là danh tướng thời Trần.', 'Dâng Mình Vì Nước', 'Mất 10% máu hiện tại để tạo Khiên (bằng 80% máu vừa mất) cho 1 tướng chủ lực. Tăng 10% Tỷ lệ bạo kích cho tướng đó.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_23', 'Đỗ Khắc Chung', 65, 6, 'ally', 'Nhà Trần', 'Đỗ Khắc Chung là danh tướng thời Trần.', 'Biện Thuyết Giải Vây', 'Giảm 15% sức tấn công của 3 tướng địch hàng trên trong 2 hiệp (tỷ lệ thành công 25%).', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_24', 'Trần Nhật Hiệu', 65, 6, 'ally', 'Nhà Trần', 'Trần Nhật Hiệu là danh tướng thời Trần.', 'Thủy Quân Chỉ Huy', 'Gây **95%** sát thương vật lý lên 3 tướng địch hàng dưới. Tăng 8% Tốc độ cho 3 tướng đồng minh hàng trên.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_25', 'Trần Bà Liệt', 65, 6, 'ally', 'Nhà Trần', 'Trần Bà Liệt là danh tướng thời Trần.', 'Tông Thất Trấn Ải', 'Gây **160%** sát thương vật lý lên 1 mục tiêu hàng trên. Tự buff 10% Phòng thủ trong 2 hiệp.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_26', 'Trương Hán Siêu', 65, 6, 'ally', 'Nhà Trần', 'Trương Hán Siêu là danh tướng thời Trần.', 'Ngòi Bút Thần Tốc', 'Gây **55%** sát thương phép toàn địch. Có 15% tỷ lệ giảm 10% tốc độ của địch trong 2 hiệp.', 'Gây sát thương phép lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_27', 'Mạc Đĩnh Chi', 65, 6, 'ally', 'Nhà Trần', 'Mạc Đĩnh Chi là danh tướng thời Trần.', 'Lưỡng Quốc Trạng Nguyên', 'Không gây sát thương. Hồi 8% Nộ khí cho 2 tướng hàng dưới.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_28', 'Trần Quốc Khang', 65, 6, 'ally', 'Nhà Trần', 'Trần Quốc Khang là danh tướng thời Trần.', 'An Phận Tông Thân', 'Tạo khiên ảo bằng 10% HP tối đa của bản thân cho 1 tướng đồng minh hàng trên yếu máu nhất.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_29', 'Huyền Trân Công Chúa', 65, 6, 'ally', 'Nhà Trần', 'Huyền Trân Công Chúa là danh tướng thời Trần.', 'Khúc Hát Hòa Bình', 'Hồi 10% Nộ khí cho 1 tướng đồng minh hàng dưới có Nộ khí thấp nhất.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_30', 'Hà Chương', 55, 6, 'ally', 'Nhà Trần', 'Hà Chương là danh tướng thời Trần.', 'Trá Hàng Phá Địch', 'Gây **80%** sát thương vật lý ngẫu nhiên 2 mục tiêu. Đòn đánh có 10% tỷ lệ Đánh lén (gây thêm 10% sát thương).', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_31', 'Nguyễn Trung Ngạn', 55, 6, 'ally', 'Nhà Trần', 'Nguyễn Trung Ngạn là danh tướng thời Trần.', 'Kỷ Cương Triều Đình', 'Gây **45%** sát thương phép lên toàn địch. Có 10% tỷ lệ xóa 1 Buff của kẻ địch.', 'Gây sát thương phép lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_32', 'Trần Thì Kiến', 55, 6, 'ally', 'Nhà Trần', 'Trần Thì Kiến là danh tướng thời Trần.', 'Quẻ Bói Thần Kỳ', 'Tăng 8% Tỷ lệ Né tránh cho 3 tướng đồng minh hàng trên trong 1 hiệp.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_33', 'Cao Mang', 55, 6, 'ally', 'Nhà Trần', 'Cao Mang là danh tướng thời Trần.', 'Mê Tung Dũng Tướng', 'Gây **80%** sát thương ngẫu nhiên 2 địch. Tự buff 8% tỷ lệ Né tránh.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_34', 'Đỗ Hành', 55, 6, 'ally', 'Nhà Trần', 'Đỗ Hành là danh tướng thời Trần.', 'Sinh Cầm Ô Mã', 'Gây **130%** sát thương vật lý lên 1 mục tiêu hàng trên. Có 8% tỷ lệ Hóa đá mục tiêu.', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
  createHero2('h6_35', 'Hà Đặc', 55, 6, 'ally', 'Nhà Trần', 'Hà Đặc là danh tướng thời Trần.', 'Phục Kích Rừng Sâu', 'Gây **95%** sát thương vật lý lên 1 hàng dọc. Có 10% tỷ lệ gây Chảy máu (mất 3% HP mỗi lượt).', 'Gây sát thương vật lý lên 1 mục tiêu địch hàng trước.'),
